mil,(ImgNote),(ImgFolder),Xnote,Xcode,Xparent,ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: woodmart_sguide_select,Meta: woodmart_total_stock_quantity,Meta: _product_360_image_gallery,Meta: additional_information,Meta: _additional_information,Meta: slide_template,Meta: rs_page_bg_color,Meta: _woodmart_whb_header,Meta: _woodmart_main_layout,Meta: _woodmart_sidebar_width,Meta: _woodmart_custom_sidebar,Meta: _woodmart_product_design,Meta: _woodmart_single_product_style,Meta: _woodmart_thums_position,Meta: _woodmart_product-background,Meta: _woodmart_extra_content,Meta: _woodmart_extra_position,Meta: _woodmart_product_custom_tab_title,Meta: _woodmart_product_custom_tab_content,Meta: _woodmart_swatches_attribute,Meta: _woodmart_product_video,Meta: _woodmart_product_hashtag,Meta: _wpb_vc_js_status,Meta: _custom_avi,Meta: variation_title,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 2 default,Attribute 3 default,Attribute 1 default,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global
c,,66C510,"img, (to add img)",66C510,66C510,5662,variation,,IP66 5 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 10A,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42,,,,"http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A1781-scaled.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A1782-scaled.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6746.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6747.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6751.jpg",,,66C510,,,,,,0,Amp,10A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,96,35,96,46,04,26,040",IP66 5 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 10A,,,,,,,,,,,,,,,,
c,,66C520,"img, (to add img)",66C520,66C510,5810,variation,66C520,IP66 5 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 20A,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42,,,,"http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A1775-scaled.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A1778-scaled.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6746.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6747.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6751.jpg",,,66C510,,,,,,0,Amp,20A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,03,96,04,06,04,26,040",IP66 5 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 20A,,,,,,,,,,,,,,,,
c,move 1DPLQ9264 to front as 1st image,66C532,"img, (to add img), [to set img order]",66C532,66C510,5811,variation,66C532,IP66 5 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 32A,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,43,,,,"http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6754.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6746.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6747.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6751.jpg",,,66C510,,,,,,0,Amp,32A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,04,16,04,26,04,36,040",IP66 5 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 32A,,,,,,,,,,,,,,,,
c,,66C540,"img, (to add img)",66C540,66C510,5812,variation,66C540,IP66 5 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 40A,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46.6,,,,"http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A1786-scaled.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A1788-scaled.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6746.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6747.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6751.jpg",,,66C510,,,,,,0,Amp,40A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,04,76,04,86,04,26,040",IP66 5 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 40A,,,,,,,,,,,,,,,,
c,,66C550,"img, (to add img)",66C550,66C510,5813,variation,66C550,IP66 5 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 50A,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48.8,,,,"http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A1791-scaled.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A1792-scaled.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6746.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6747.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6751.jpg",,,66C510,,,,,,0,Amp,50A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,05,06,05,16,04,26,040",IP66 5 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V - 50A,,,,,,,,,,,,,,,,
c,,,brand,,66C510,5654,variable,66C510,IP66 5 Round Pin Isolator Switched Outlet Combination Industrial Switchgear 415V,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,IP66 Industrial > IP66 Switched Combination,Weatherproof,,"http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A1781-scaled.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A1782-scaled.jpg",,,,,,,,,0,Amp,"10A, 20A, 32A, 40A, 50A",1,1,Brand,Industrial,1,1,none,,,"<table class=""woocommerce-product-attributes shop_attributes""><tbody><tr><th>Brand </th><td>Transco</td></tr><tr><th>Category</th><td>IP66 Industrial Series</td></tr><tr><th>Name</th><td>Five pin switched socket combo</td></tr><tr><th>Model</th><td>66C510, 66C520, 66C532, 66C540, 66C550</td></tr><tr><th>Power current</th><td>A.C.</td></tr><tr><th>Rating</th><td>10A, 20A, 32A, 40A, 50A</td></tr><tr><th>Volt</th><td>500V</td></tr><tr><th>IP Rating</th><td>66</td></tr><tr><th>Material </th><td>Impact polycarbonate</td></tr><tr><th>UV Resistant </th><td>Yes</td></tr><tr><th>Color</th><td>Grey</td></tr><tr><th>Pin</th><td>5 pins (3xactive, neutral, earth)</td></tr><tr><th>Pin Type</th><td>Round pin</td></tr><tr><th>Cable entries</th><td>Top 25mmx2, Back 25mmx2</td></tr><tr><th>Poles description </th><td>3P + N + E</td></tr><tr><th>Switch lockable </th><td>Yes</td></tr><tr><th>Number of power socket outlets</th><td>1 protective cover</td></tr><tr><th>Cable accomodated</th><td>16mm x 5</td></tr><tr><th>Unit size</th><td>W102mm x L190mm x D77mm</td></tr><tr><th>Compliance</th><td>AS 60529:2004/NZS IEC 60947.1:2015 Annex C,<br />AS/NZS 3121:2002 : AS/NZS 3100:2009+A1-A4</td></tr></tbody></table><div class=""ai_imgs""><div class=""ai_img""><img src=""http://aaronknightdev.com/ecommerce/wp-content/uploads/import/01594021693.png"" /></div></div>",field_5e563c3884579,,,none,default,default,none,inherit,inherit,inherit,,0,after,,,,,,FALSE,,,,,,,,,,,,,10A,,,,,
c,,66P310,"img, (to add img)",66P310,66P310,5647,variation,,IP66 Plug 3 Flat Pin Heavy Duty Industrial Switchgear 240V - 10A,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,11,,,,,,,66P310,,,,,,0,Amp,10A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP66 Plug 3 Flat Pin Heavy Duty Industrial Switchgear 240V - 10A,,,,,,,,,,,,,,,,
c,,66P315,"img, (to add img)",66P315,66P310,5785,variation,66P315,IP66 Plug 3 Flat Pin Heavy Duty Industrial Switchgear 240V - 15A,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,13.5,,,,,,,66P310,,,,,,0,Amp,15A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP66 Plug 3 Flat Pin Heavy Duty Industrial Switchgear 240V - 15A,,,,,,,,,,,,,,,,
c,,66P320,(to add img),66P320,66P310,5786,variation,66P320,IP66 Plug 3 Flat Pin Heavy Duty Industrial Switchgear 240V - 20A,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,17,,,,"http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6764.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6763-scaled.jpg",,,66P310,,,,,,0,Amp,20A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5982,IP66 Plug 3 Flat Pin Heavy Duty Industrial Switchgear 240V - 20A,,,,,,,,,,,,,,,,
c,,,brand,,66P310,5632,variable,66P310,IP66 Plug 3 Flat Pin Heavy Duty Industrial Switchgear 240V,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,IP66 Industrial > IP66 Plug,Weatherproof,,"http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6764.jpg, http://aaronknightdev.com/ecommerce/wp-content/uploads/2020/02/U9A6763-scaled.jpg",,,,,,,,,0,Amp,"10A, 15A, 20A",1,1,Brand,Industrial,1,1,none,,,"<table class=""woocommerce-product-attributes shop_attributes""><tbody><tr><th>Brand </th><td>Transco</td></tr><tr><th>Category</th><td>IP66 Industrial Series</td></tr><tr><th>Name</th><td>Three pin straight plug</td></tr><tr><th>Model</th><td>66P310, 66P315, 66P320</td></tr><tr><th>Power current</th><td>A.C.</td></tr><tr><th>Rating</th><td>10A, 15A, 20A</td></tr><tr><th>Volt</th><td>240V</td></tr><tr><th>IP Rating</th><td>66</td></tr><tr><th>Material </th><td>Plastic</td></tr><tr><th>UV Resistant </th><td>Yes</td></tr><tr><th>Color</th><td>Orange &amp; clear</td></tr><tr><th>Pin</th><td>3 pins (active, neutral, earth)</td></tr><tr><th>Pin Type</th><td>Flat pin</td></tr><tr><th>Contacts material Pins </th><td>Brass</td></tr><tr><th>Cable entry</th><td>Cable gland</td></tr><tr><th>Cable accomodated</th><td>6mm x 3</td></tr><tr><th>Compliance</th><td>AS/NZS 3123</td></tr></tbody></table><div class=""ai_imgs""><div class=""ai_img""><img src=""http://aaronknightdev.com/ecommerce/wp-content/uploads/import/01594021947.png"" /></div><div class=""ai_img""><img src=""http://aaronknightdev.com/ecommerce/wp-content/uploads/import/11594021947.png"" /></div></div>",field_5e563c3884579,,,none,default,default,none,inherit,inherit,inherit,,none,after,,,,,,FALSE,,,,,,,,,,,,,10A,,,,,
